date,product,time,bid,bs,ask,as
,STARFRUIT,31000,4995,4,4998,1
,STARFRUIT,31100,4992,29,4999,29
,AMETHYSTS,31100,9996,2,10004,2
,STARFRUIT,31200,4992,31,4999,31
,AMETHYSTS,31200,9996,2,10002,6
,STARFRUIT,31300,4992,24,4999,24
,AMETHYSTS,31300,9996,1,10004,1
,AMETHYSTS,31400,9995,26,9998,1
,STARFRUIT,31400,4992,26,4999,26
,STARFRUIT,31500,4993,5,4999,30
,AMETHYSTS,31500,9995,30,10005,30
,STARFRUIT,31600,4997,1,4998,27
,AMETHYSTS,31600,9995,27,10005,27
,STARFRUIT,31700,4991,24,4996,3
,AMETHYSTS,31700,9996,2,10004,2
,AMETHYSTS,31800,10000,6,10004,1
,STARFRUIT,31800,4993,6,4997,26
,STARFRUIT,31900,4991,4,4997,28
,AMETHYSTS,31900,9998,3,10005,28
,STARFRUIT,32000,4992,3,4998,25
,AMETHYSTS,32000,9996,1,10004,1
,STARFRUIT,32100,4991,29,4997,1
,AMETHYSTS,32100,9996,1,10004,1
,STARFRUIT,32200,4991,28,4997,1
,AMETHYSTS,32200,9996,1,10004,1
,STARFRUIT,32300,4991,25,4998,25
,AMETHYSTS,32300,9995,25,10005,25
,STARFRUIT,32400,4991,30,4997,1
,AMETHYSTS,32400,9996,1,10004,1
,AMETHYSTS,32500,9998,1,10004,1
,STARFRUIT,32500,4991,21,4996,5
,STARFRUIT,32600,4990,30,4997,30
,AMETHYSTS,32600,10002,1,10005,30
,STARFRUIT,32700,4991,24,4997,2
,AMETHYSTS,32700,9996,2,10004,2
,STARFRUIT,32800,4991,2,4997,30
,AMETHYSTS,32800,9996,2,10004,2
,AMETHYSTS,32900,9996,2,10004,2
,STARFRUIT,32900,4991,2,4997,29
,STARFRUIT,33000,4996,1,4997,2
,AMETHYSTS,33000,9996,2,10004,2
,STARFRUIT,33100,4991,28,4996,3
,AMETHYSTS,33100,9996,1,10004,1
,STARFRUIT,33200,4990,20,4991,10
,AMETHYSTS,33200,9996,1,10002,7
,AMETHYSTS,33300,9996,1,10004,1
,STARFRUIT,33300,4990,21,4996,1
,STARFRUIT,33400,4990,32,4997,32
,AMETHYSTS,33400,9996,2,10002,3
,STARFRUIT,33500,4990,21,4997,21
,AMETHYSTS,33500,9996,1,10004,1
,STARFRUIT,33600,4990,27,4997,27
,AMETHYSTS,33600,10002,6,10005,27
,AMETHYSTS,33700,9996,1,10002,1
,STARFRUIT,33700,4991,4,4996,1
,STARFRUIT,33800,4994,3,4996,1
,AMETHYSTS,33800,9996,1,10004,1
,STARFRUIT,33900,4990,24,4997,24
,AMETHYSTS,33900,9995,24,10005,24
,STARFRUIT,34000,4990,29,4995,8
,AMETHYSTS,34000,10002,1,10005,30
,AMETHYSTS,34100,9996,1,10004,1
,STARFRUIT,34100,4992,2,4997,1
,STARFRUIT,34200,4991,23,4996,1
,AMETHYSTS,34200,9995,23,10005,23
,AMETHYSTS,34300,10002,1,10004,1
,STARFRUIT,34300,4990,23,4997,23
,AMETHYSTS,34400,9996,2,10004,2
,STARFRUIT,34400,4991,3,4996,25
,AMETHYSTS,34500,9995,30,10005,30
,STARFRUIT,34500,4990,30,4991,5
,STARFRUIT,34600,4990,28,4997,29
,AMETHYSTS,34600,9995,29,10005,29
,AMETHYSTS,34700,9998,6,10005,24
,STARFRUIT,34700,4990,24,4997,24
,AMETHYSTS,34800,9996,2,10004,2
,STARFRUIT,34800,4991,25,4997,2
,AMETHYSTS,34900,9996,1,10004,1
,STARFRUIT,34900,4991,21,4998,21
,STARFRUIT,35000,4997,1,4999,20
,AMETHYSTS,35000,10002,1,10005,20
,AMETHYSTS,35100,10002,3,10004,2
,STARFRUIT,35100,4992,31,4998,2
,AMETHYSTS,35200,9996,2,10002,10
,STARFRUIT,35200,4993,3,4998,2
,AMETHYSTS,35300,9998,6,10004,1
,STARFRUIT,35300,4992,28,4993,8
,STARFRUIT,35400,4997,1,4999,25
,AMETHYSTS,35400,10002,3,10005,25
,AMETHYSTS,35500,9996,2,10004,2
,STARFRUIT,35500,4992,28,4999,28
,AMETHYSTS,35600,9995,26,10005,26
,STARFRUIT,35600,4993,26,5000,26
,AMETHYSTS,35700,9996,2,10004,2
,STARFRUIT,35700,4993,29,5000,29
,STARFRUIT,35800,4993,31,4994,2
,AMETHYSTS,35800,9998,7,10004,1
,AMETHYSTS,35900,9996,2,10004,2
,STARFRUIT,35900,4993,23,5000,23
,AMETHYSTS,36000,9995,30,10002,5
,STARFRUIT,36000,4993,30,4998,3
,AMETHYSTS,36100,10002,8,10004,2
,STARFRUIT,36100,4993,26,4999,2
,STARFRUIT,36200,4993,1,4999,30
,AMETHYSTS,36200,9996,1,9998,1
,AMETHYSTS,36300,9996,1,10004,1
,STARFRUIT,36300,4993,1,4997,6
,AMETHYSTS,36400,9998,1,10004,1
,STARFRUIT,36400,4998,1,4999,21
,AMETHYSTS,36500,9995,25,10005,25
,STARFRUIT,36500,4992,25,4994,2
,STARFRUIT,36600,4993,29,5000,29
,AMETHYSTS,36600,9996,1,10004,1
,STARFRUIT,36700,4992,21,4999,21
,AMETHYSTS,36700,9995,21,10005,21
,AMETHYSTS,36800,9995,30,10005,30
,STARFRUIT,36800,4993,30,5000,30
,STARFRUIT,36900,4992,27,4999,27
,AMETHYSTS,36900,9996,1,10004,1
,STARFRUIT,37000,4991,25,4998,25
,AMETHYSTS,37000,9996,2,10004,2
,STARFRUIT,37100,4992,4,4998,23
,AMETHYSTS,37100,9996,2,10004,2
,AMETHYSTS,37200,9996,1,10004,1
,STARFRUIT,37200,4992,4,4998,21
,STARFRUIT,37300,4992,4,4998,28
,AMETHYSTS,37300,9996,1,9998,10
,STARFRUIT,37400,4990,30,4997,30
,AMETHYSTS,37400,10002,1,10005,30
,STARFRUIT,37500,4991,2,4997,27
,AMETHYSTS,37500,9996,2,10004,2
,AMETHYSTS,37600,9995,22,10002,7
,STARFRUIT,37600,4991,22,4997,22
,STARFRUIT,37700,4991,24,4998,24
,AMETHYSTS,37700,9996,1,10004,1
,STARFRUIT,37800,4991,24,4998,25
,AMETHYSTS,37800,9995,25,10005,25
,STARFRUIT,37900,4991,25,4998,25
,AMETHYSTS,37900,9995,25,10005,25
,AMETHYSTS,38000,10002,1,10004,2
,STARFRUIT,38000,4991,32,4996,4
,STARFRUIT,38100,4991,28,4997,2
,AMETHYSTS,38100,9996,2,10002,2
,STARFRUIT,38200,4991,28,4997,1
,AMETHYSTS,38200,9996,1,10004,1
,STARFRUIT,38300,4991,26,4998,26
,AMETHYSTS,38300,9998,5,10005,26
,AMETHYSTS,38400,9996,1,10000,6
,STARFRUIT,38400,4991,1,4993,6
,STARFRUIT,38500,4990,21,4997,21
,AMETHYSTS,38500,10002,1,10005,21
,STARFRUIT,38600,4991,2,4997,30
,AMETHYSTS,38600,9996,2,10004,2
,STARFRUIT,38700,4991,20,4998,20
,AMETHYSTS,38700,9995,20,10005,20
,AMETHYSTS,38800,9996,1,10002,1
,STARFRUIT,38800,4991,21,4993,2
,STARFRUIT,38900,4992,2,4996,7
,AMETHYSTS,38900,9996,2,10004,2
,STARFRUIT,39000,4991,23,4998,23
,AMETHYSTS,39000,9995,23,10002,9
,STARFRUIT,39100,4992,25,4998,1
,AMETHYSTS,39100,9998,8,10004,1
,AMETHYSTS,39200,9996,1,10004,1
,STARFRUIT,39200,4992,30,4997,2
,STARFRUIT,39300,4992,27,4999,27
,AMETHYSTS,39300,9995,27,10005,27
,STARFRUIT,39400,4993,31,4998,5
,AMETHYSTS,39400,9996,1,10004,1
,STARFRUIT,39500,4992,27,4997,3
,AMETHYSTS,39500,9995,27,9998,1
,AMETHYSTS,39600,9995,23,10005,23
,STARFRUIT,39600,4997,4,4999,23
,STARFRUIT,39700,4993,4,4998,2
,AMETHYSTS,39700,9996,2,10004,2
,STARFRUIT,39800,4991,28,4998,28
,AMETHYSTS,39800,9996,1,10004,1
,STARFRUIT,39900,4992,31,4998,1
,AMETHYSTS,39900,9996,1,10002,4
,AMETHYSTS,40000,9995,22,10005,22
,STARFRUIT,40000,4992,22,4999,22
,STARFRUIT,40100,4992,2,4998,31
,AMETHYSTS,40100,9996,2,10002,8
,STARFRUIT,40200,4992,29,4999,29
,AMETHYSTS,40200,9996,1,10004,1
,STARFRUIT,40300,4992,22,4999,22
,AMETHYSTS,40300,9995,22,9998,1
,AMETHYSTS,40400,9996,1,10004,1
,STARFRUIT,40400,4992,24,4999,24
,STARFRUIT,40500,4992,29,4993,1
,AMETHYSTS,40500,10002,1,10004,2
,STARFRUIT,40600,4993,4,4999,26
,AMETHYSTS,40600,9996,2,10004,2
,STARFRUIT,40700,4992,22,4998,2
,AMETHYSTS,40700,9998,7,10004,2
,AMETHYSTS,40800,9995,27,10005,27
,STARFRUIT,40800,4991,27,4998,27
,STARFRUIT,40900,4991,28,4998,28
,AMETHYSTS,40900,9998,10,10004,2
,STARFRUIT,41000,4991,21,4992,1
,AMETHYSTS,41000,9995,21,10002,10
,AMETHYSTS,41100,9995,27,10005,27
,STARFRUIT,41100,4990,27,4991,1
,STARFRUIT,41200,4990,29,4997,29
,AMETHYSTS,41200,9995,29,10005,29
,STARFRUIT,41300,4991,1,4995,4
,AMETHYSTS,41300,9998,2,10004,1
,STARFRUIT,41400,4991,2,4993,4
,AMETHYSTS,41400,9998,5,10000,4
,AMETHYSTS,41500,9998,8,10004,2
,STARFRUIT,41500,4991,2,4995,1
,STARFRUIT,41600,4990,23,4995,7
,AMETHYSTS,41600,9996,1,10004,1
,STARFRUIT,41700,4993,4,4997,21
,AMETHYSTS,41700,10000,5,10005,21
,STARFRUIT,41800,4990,24,4996,2
,AMETHYSTS,41800,9996,2,10004,2
,AMETHYSTS,41900,9996,1,9998,4
,STARFRUIT,41900,4991,1,4995,1
,STARFRUIT,42000,4990,31,4995,5
,AMETHYSTS,42000,9996,2,10004,2
,STARFRUIT,42100,4990,23,4997,23
,AMETHYSTS,42100,9998,8,10004,2
,STARFRUIT,42200,4990,28,4997,28
,AMETHYSTS,42200,10002,1,10005,28
,AMETHYSTS,42300,9995,20,10005,20
,STARFRUIT,42300,4990,20,4991,7
,STARFRUIT,42400,4990,1,4996,31
,AMETHYSTS,42400,9996,2,10004,2
,STARFRUIT,42500,4989,24,4996,24
,AMETHYSTS,42500,9995,24,10002,3
,STARFRUIT,42600,4989,26,4996,26
,AMETHYSTS,42600,9995,26,10005,26
,AMETHYSTS,42700,9995,26,10005,26
,STARFRUIT,42700,4989,26,4996,26
,STARFRUIT,42800,4989,30,4996,30
,AMETHYSTS,42800,9995,30,10005,30
,STARFRUIT,42900,4988,25,4995,25
,AMETHYSTS,42900,9995,25,10005,25
,STARFRUIT,43000,4991,2,4996,23
,AMETHYSTS,43000,9995,23,10005,23
,AMETHYSTS,43100,9995,21,10005,21
,STARFRUIT,43100,4989,21,4996,21
,STARFRUIT,43200,4990,1,4996,21
,AMETHYSTS,43200,9996,1,10004,1
,AMETHYSTS,43300,9996,1,10004,1
,STARFRUIT,43300,4989,25,4994,2
,AMETHYSTS,43400,9996,2,10004,2
,STARFRUIT,43400,4994,4,4996,24
,AMETHYSTS,43500,9998,7,10005,23
,STARFRUIT,43500,4990,22,4995,7
,STARFRUIT,43600,4990,5,4996,23
,AMETHYSTS,43600,9996,2,10002,9
,AMETHYSTS,43700,9996,1,10004,1
,STARFRUIT,43700,4990,24,4997,24
,AMETHYSTS,43800,9996,2,10004,2
,STARFRUIT,43800,4991,9,4997,28
,AMETHYSTS,43900,10002,4,10004,1
,STARFRUIT,43900,4991,6,4997,30
,STARFRUIT,44000,4991,2,4995,3
,AMETHYSTS,44000,9996,2,10004,2
,AMETHYSTS,44100,9995,24,9998,1
,STARFRUIT,44100,4990,24,4997,24
,AMETHYSTS,44200,9995,21,10005,21
,STARFRUIT,44200,4991,21,4998,21
,AMETHYSTS,44300,9995,27,10005,27
,STARFRUIT,44300,4991,27,4998,27
,STARFRUIT,44400,4991,28,4998,28
,AMETHYSTS,44400,9998,7,10005,28
,AMETHYSTS,44500,9995,21,10005,21
,STARFRUIT,44500,4995,1,4997,21
,AMETHYSTS,44600,9996,1,10004,1
,STARFRUIT,44600,4990,1,4996,24
,AMETHYSTS,44700,9995,29,10002,10
,STARFRUIT,44700,4989,29,4996,29
,STARFRUIT,44800,4989,29,4996,29
,AMETHYSTS,44800,9995,29,9998,1
,AMETHYSTS,44900,9996,1,10004,1
,STARFRUIT,44900,4989,2,4995,26
,AMETHYSTS,45000,10002,1,10004,2
,STARFRUIT,45000,4988,26,4995,26
,AMETHYSTS,45100,9996,1,10004,1
,STARFRUIT,45100,4988,27,4993,5
,STARFRUIT,45200,4989,1,4993,6
,AMETHYSTS,45200,9996,1,10004,1
,AMETHYSTS,45300,9995,22,10005,22
,STARFRUIT,45300,4989,4,4995,22
,AMETHYSTS,45400,9996,2,9998,1
,STARFRUIT,45400,4988,22,4993,2
,STARFRUIT,45500,4987,25,4990,3
,AMETHYSTS,45500,9996,1,10000,3
,STARFRUIT,45600,4988,7,4994,26
,AMETHYSTS,45600,9995,26,10002,5
,STARFRUIT,45700,4986,24,4993,24
,AMETHYSTS,45700,9995,24,10005,24
,AMETHYSTS,45800,9996,1,10004,1
,STARFRUIT,45800,4986,27,4992,1
,STARFRUIT,45900,4987,4,4993,31
,AMETHYSTS,45900,9996,1,10004,1
,STARFRUIT,46000,4986,26,4993,26
,AMETHYSTS,46000,9996,2,10004,2
,STARFRUIT,46100,4986,25,4992,2
,AMETHYSTS,46100,9998,6,10004,2
,AMETHYSTS,46200,9998,2,10004,1
,STARFRUIT,46200,4986,28,4993,28
,STARFRUIT,46300,4986,29,4993,29
,AMETHYSTS,46300,9996,2,10004,2
,STARFRUIT,46400,4986,22,4993,22
,AMETHYSTS,46400,9995,22,10005,22
,STARFRUIT,46500,4989,6,4993,31
,AMETHYSTS,46500,10000,6,10004,1
,AMETHYSTS,46600,9998,10,10004,1
,STARFRUIT,46600,4987,3,4993,28
,STARFRUIT,46700,4986,26,4993,26
,AMETHYSTS,46700,9995,26,10005,26
,STARFRUIT,46800,4987,1,4993,22
,AMETHYSTS,46800,9996,1,10004,1
,STARFRUIT,46900,4992,1,4993,32
,AMETHYSTS,46900,9996,2,10004,2
,AMETHYSTS,47000,9996,1,10004,1
,STARFRUIT,47000,4986,21,4992,1
,STARFRUIT,47100,4986,26,4988,4
,AMETHYSTS,47100,9996,2,9998,1
,STARFRUIT,47200,4987,2,4993,30
,AMETHYSTS,47200,10002,1,10004,2
,STARFRUIT,47300,4987,25,4992,1
,AMETHYSTS,47300,10002,1,10005,25
,AMETHYSTS,47400,9995,24,10002,9
,STARFRUIT,47400,4988,1,4994,24
,STARFRUIT,47500,4988,30,4993,6
,AMETHYSTS,47500,9995,30,10002,1
,STARFRUIT,47600,4988,1,4994,28
,AMETHYSTS,47600,9996,1,10004,1
,STARFRUIT,47700,4988,1,4994,23
,AMETHYSTS,47700,9996,1,10002,8
,AMETHYSTS,47800,9996,1,10002,8
,STARFRUIT,47800,4988,23,4995,23
,STARFRUIT,47900,4987,27,4994,27
,AMETHYSTS,47900,10002,1,10005,27
,STARFRUIT,48000,4987,27,4994,27
,AMETHYSTS,48000,9995,27,10005,27
,STARFRUIT,48100,4989,1,4994,21
,AMETHYSTS,48100,9995,21,10002,9
,AMETHYSTS,48200,9998,5,10005,25
,STARFRUIT,48200,4988,25,4995,25
,STARFRUIT,48300,4988,29,4991,5
,AMETHYSTS,48300,9996,1,9998,1
,STARFRUIT,48400,4989,1,4995,27
,AMETHYSTS,48400,9995,27,10002,7
,STARFRUIT,48500,4990,1,4996,29
,AMETHYSTS,48500,9995,29,9998,1
,AMETHYSTS,48600,9996,1,10004,1
,STARFRUIT,48600,4990,1,4995,1
,STARFRUIT,48700,4989,1,4995,23
,AMETHYSTS,48700,9996,1,10004,1
,STARFRUIT,48800,4989,5,4995,24
,AMETHYSTS,48800,9996,1,10004,1
,STARFRUIT,48900,4989,7,4995,27
,AMETHYSTS,48900,9995,27,10005,27
,AMETHYSTS,49000,9996,2,10004,2
,STARFRUIT,49000,4989,7,4994,2
,STARFRUIT,49100,4989,8,4995,32
,AMETHYSTS,49100,9996,2,10004,2
,STARFRUIT,49200,4988,21,4994,1
,AMETHYSTS,49200,9996,1,10004,1
,STARFRUIT,49300,4987,22,4988,1
,AMETHYSTS,49300,9998,9,10004,1
,AMETHYSTS,49400,9995,20,10005,20
,STARFRUIT,49400,4992,14,4994,20
,STARFRUIT,49500,4988,8,4994,32
,AMETHYSTS,49500,9996,2,10004,2
,STARFRUIT,49600,4992,1,4994,24
,AMETHYSTS,49600,9995,24,10005,24
,STARFRUIT,49700,4987,28,4993,2
,AMETHYSTS,49700,9998,7,10004,2
,AMETHYSTS,49800,9996,2,10004,2
,STARFRUIT,49800,4987,25,4988,5
,STARFRUIT,49900,4986,23,4993,23
,AMETHYSTS,49900,9998,3,10005,23
,STARFRUIT,50000,4986,1,4992,21
,AMETHYSTS,50000,9996,1,10004,1
,AMETHYSTS,50100,9995,24,10005,24
,STARFRUIT,50100,4986,24,4991,2
,STARFRUIT,50200,4985,24,4992,24
,AMETHYSTS,50200,9995,24,10005,24
,STARFRUIT,50300,4985,30,4992,30
,AMETHYSTS,50300,9995,30,10002,10
,STARFRUIT,50400,4985,23,4988,2
,AMETHYSTS,50400,9998,4,10000,2
,AMETHYSTS,50500,9996,2,10004,2
,STARFRUIT,50500,4986,2,4992,25
,STARFRUIT,50600,4985,23,4986,8
,AMETHYSTS,50600,10002,1,10004,2
,STARFRUIT,50700,4986,2,4992,24
,AMETHYSTS,50700,9996,2,10004,2
,STARFRUIT,50800,4991,1,4993,24
,AMETHYSTS,50800,10002,5,10004,2
,AMETHYSTS,50900,9996,1,10004,1
,STARFRUIT,50900,4986,28,4991,4
,STARFRUIT,51000,4986,28,4993,28
,AMETHYSTS,51000,9996,2,10004,2
,STARFRUIT,51100,4986,26,4992,1
,AMETHYSTS,51100,9998,6,10004,1
,STARFRUIT,51200,4986,2,4992,30
,AMETHYSTS,51200,9996,2,10004,2
,AMETHYSTS,51300,9996,1,10004,1
,STARFRUIT,51300,4985,25,4992,25
,STARFRUIT,51400,4985,30,4992,30
,AMETHYSTS,51400,9995,30,10002,3
,STARFRUIT,51500,4991,1,4992,30
,AMETHYSTS,51500,9995,30,10005,30
,STARFRUIT,51600,4988,5,4992,24
,AMETHYSTS,51600,10000,5,10002,1
,AMETHYSTS,51700,9995,20,10005,20
,STARFRUIT,51700,4984,20,4986,4
,STARFRUIT,51800,4985,25,4992,25
,AMETHYSTS,51800,9996,1,10004,1
,STARFRUIT,51900,4990,4,4992,24
,AMETHYSTS,51900,9996,1,10004,1
,STARFRUIT,52000,4985,29,4990,6
,AMETHYSTS,52000,9998,3,10005,29
,AMETHYSTS,52100,9995,21,10005,21
,STARFRUIT,52100,4985,21,4992,21
,STARFRUIT,52200,4985,31,4991,2
,AMETHYSTS,52200,9996,2,10004,2
,AMETHYSTS,52300,10002,1,10004,1
,STARFRUIT,52300,4990,1,4991,1
,AMETHYSTS,52400,9998,3,10004,1
,STARFRUIT,52400,4985,30,4991,1
,AMETHYSTS,52500,9996,1,9998,1
,STARFRUIT,52500,4990,1,4991,28
,STARFRUIT,52600,4985,23,4988,4
,AMETHYSTS,52600,9998,1,10000,4
,AMETHYSTS,52700,9996,2,10004,2
,STARFRUIT,52700,4985,26,4992,27
,AMETHYSTS,52800,9995,26,10005,26
,STARFRUIT,52800,4985,26,4992,26
,AMETHYSTS,52900,9995,30,10005,30
,STARFRUIT,52900,4984,30,4991,30
,STARFRUIT,53000,4984,21,4991,21
,AMETHYSTS,53000,10002,1,10004,1
,AMETHYSTS,53100,9995,24,10005,24
,STARFRUIT,53100,4984,24,4991,24
,AMETHYSTS,53200,9996,1,10004,1
,STARFRUIT,53200,4990,1,4991,31
,AMETHYSTS,53300,9995,29,10005,29
,STARFRUIT,53300,4984,29,4991,29
,STARFRUIT,53400,4984,25,4991,25
,AMETHYSTS,53400,9998,6,10004,2
,AMETHYSTS,53500,9996,2,10002,1
,STARFRUIT,53500,4984,23,4991,23
,AMETHYSTS,53600,9995,24,9998,9
,STARFRUIT,53600,4985,24,4992,24
,AMETHYSTS,53700,9998,1,10005,30
,STARFRUIT,53700,4985,30,4992,30
,STARFRUIT,53800,4985,30,4992,30
,AMETHYSTS,53800,10002,3,10005,30
,AMETHYSTS,53900,9996,2,10004,2
,STARFRUIT,53900,4986,2,4992,27
,AMETHYSTS,54000,9998,6,10004,1
,STARFRUIT,54000,4986,31,4991,1
,AMETHYSTS,54100,9998,2,10004,2
,STARFRUIT,54100,4986,24,4991,2
,STARFRUIT,54200,4986,28,4993,28
,AMETHYSTS,54200,9995,28,10005,28
,AMETHYSTS,54300,9996,2,10004,2
,STARFRUIT,54300,4991,1,4992,2
,AMETHYSTS,54400,9995,29,10005,29
,STARFRUIT,54400,4986,29,4993,29
,STARFRUIT,54500,4986,1,4992,21
,AMETHYSTS,54500,9996,1,10004,1
,STARFRUIT,54600,4985,27,4992,27
,AMETHYSTS,54600,10002,3,10005,27
,STARFRUIT,54700,4984,29,4986,4
,AMETHYSTS,54700,9996,2,10004,2
,AMETHYSTS,54800,9998,8,10005,27
,STARFRUIT,54800,4984,27,4989,1
,STARFRUIT,54900,4984,29,4991,29
,AMETHYSTS,54900,9996,1,10002,3
,STARFRUIT,55000,4985,6,4990,2
,AMETHYSTS,55000,9996,2,10002,8
,STARFRUIT,55100,4985,8,4991,29
,AMETHYSTS,55100,9995,29,10005,29
,AMETHYSTS,55200,9996,2,10004,2
,STARFRUIT,55200,4984,23,4985,5
,STARFRUIT,55300,4985,2,4991,29
,AMETHYSTS,55300,9996,2,9998,1
,STARFRUIT,55400,4986,2,4991,1
,AMETHYSTS,55400,9998,3,10004,1
,STARFRUIT,55500,4990,1,4991,25
,AMETHYSTS,55500,9995,25,10002,9
,AMETHYSTS,55600,9995,26,10005,26
,STARFRUIT,55600,4985,3,4991,26
,STARFRUIT,55700,4985,2,4991,23
,AMETHYSTS,55700,9996,2,10004,2
,STARFRUIT,55800,4984,27,4991,27
,AMETHYSTS,55800,9998,6,10004,1
,STARFRUIT,55900,4984,22,4991,22
,AMETHYSTS,55900,9995,22,10005,22
,AMETHYSTS,56000,9996,2,10002,10
,STARFRUIT,56000,4984,2,4985,3
,STARFRUIT,56100,4983,22,4990,22
,AMETHYSTS,56100,9996,2,10004,2
,STARFRUIT,56200,4987,2,4990,30
,AMETHYSTS,56200,9996,1,10004,1
,STARFRUIT,56300,4983,8,4989,27
,AMETHYSTS,56300,10002,1,10004,2
,AMETHYSTS,56400,9996,1,10004,1
,STARFRUIT,56400,4982,31,4989,31
,STARFRUIT,56500,4982,29,4989,29
,AMETHYSTS,56500,9996,2,10004,2
,STARFRUIT,56600,4983,2,4989,31
,AMETHYSTS,56600,9996,2,10002,4
,STARFRUIT,56700,4987,6,4989,26
,AMETHYSTS,56700,9998,3,10000,2
,AMETHYSTS,56800,10002,1,10004,2
,STARFRUIT,56800,4982,24,4989,24
,STARFRUIT,56900,4983,4,4989,22
,AMETHYSTS,56900,9996,2,10004,2
,STARFRUIT,57000,4983,28,4988,8
,AMETHYSTS,57000,9996,1,10004,1
,STARFRUIT,57100,4984,2,4990,27
,AMETHYSTS,57100,9996,2,10004,2
,AMETHYSTS,57200,10002,2,10004,1
,STARFRUIT,57200,4989,1,4990,27
,STARFRUIT,57300,4984,1,4990,27
,AMETHYSTS,57300,9996,1,10002,9
,STARFRUIT,57400,4984,24,4989,2
,AMETHYSTS,57400,9995,24,10005,24
,STARFRUIT,57500,4989,5,4991,2
,AMETHYSTS,57500,9998,5,10004,2
,AMETHYSTS,57600,9995,24,10005,24
,STARFRUIT,57600,4984,24,4991,24
,STARFRUIT,57700,4985,29,4991,29
,AMETHYSTS,57700,9995,29,10005,29
,STARFRUIT,57800,4984,31,4991,31
,AMETHYSTS,57800,9998,1,10004,2
,STARFRUIT,57900,4984,27,4987,6
,AMETHYSTS,57900,9996,2,9998,1
,AMETHYSTS,58000,9996,1,9998,4
,STARFRUIT,58000,4984,5,4990,25
,STARFRUIT,58100,4983,23,4990,23
,AMETHYSTS,58100,9995,23,10005,23
,STARFRUIT,58200,4983,31,4990,31
,AMETHYSTS,58200,9996,1,10004,1
,STARFRUIT,58300,4983,29,4990,29
,AMETHYSTS,58300,9995,29,10005,29
,AMETHYSTS,58400,9996,2,10004,2
,STARFRUIT,58400,4983,23,4988,1
,STARFRUIT,58500,4983,21,4990,21
,AMETHYSTS,58500,9995,21,10002,1
,STARFRUIT,58600,4983,25,4988,7
,AMETHYSTS,58600,10002,1,10005,25
,STARFRUIT,58700,4984,2,4990,32
,AMETHYSTS,58700,9996,2,10004,2
,STARFRUIT,58800,4982,29,4989,29
,AMETHYSTS,58800,9995,29,10002,1
,STARFRUIT,58900,4983,25,4990,25
,AMETHYSTS,58900,9996,1,10004,1
,STARFRUIT,59000,4984,22,4990,2
,AMETHYSTS,59000,9996,2,10004,2
,AMETHYSTS,59100,9995,27,10005,27
,STARFRUIT,59100,4984,7,4990,27
,STARFRUIT,59200,4984,31,4990,2
,AMETHYSTS,59200,9998,4,10004,2
,STARFRUIT,59300,4983,26,4988,2
,AMETHYSTS,59300,9996,1,10004,1
,STARFRUIT,59400,4983,1,4989,22
,AMETHYSTS,59400,9996,1,10004,1
,AMETHYSTS,59500,10002,5,10005,23
,STARFRUIT,59500,4982,23,4989,23
,STARFRUIT,59600,4983,29,4990,29
,AMETHYSTS,59600,9996,2,10004,2
,STARFRUIT,59700,4982,21,4989,21
,AMETHYSTS,59700,9995,21,10005,21
,STARFRUIT,59800,4982,25,4989,25
,AMETHYSTS,59800,9996,1,10004,1
,AMETHYSTS,59900,9996,1,10002,6
,STARFRUIT,59900,4983,24,4989,1
,STARFRUIT,60000,4982,22,4989,22
,AMETHYSTS,60000,9998,3,10005,22
,STARFRUIT,60100,4982,27,4989,27
,AMETHYSTS,60100,9996,2,10004,2
,STARFRUIT,60200,4987,3,4989,25
,AMETHYSTS,60200,9995,25,10005,25
,AMETHYSTS,60300,9996,1,10004,1
,STARFRUIT,60300,4983,1,4989,28
,STARFRUIT,60400,4983,1,4989,21
,AMETHYSTS,60400,9996,1,9998,1
,STARFRUIT,60500,4984,1,4990,24
,AMETHYSTS,60500,9996,1,10004,1
,STARFRUIT,60600,4984,2,4990,24
,AMETHYSTS,60600,9996,2,10004,2
,AMETHYSTS,60700,9995,22,10005,22
,STARFRUIT,60700,4983,22,4988,5
,STARFRUIT,60800,4983,31,4990,32
,AMETHYSTS,60800,10002,10,10004,2
,STARFRUIT,60900,4983,31,4984,3
,AMETHYSTS,60900,9996,2,10004,2
,AMETHYSTS,61000,9995,28,10005,28
,STARFRUIT,61000,4982,28,4989,28
,AMETHYSTS,61100,9995,29,10005,29
,STARFRUIT,61100,4983,29,4988,3
,STARFRUIT,61200,4983,22,4986,2
,AMETHYSTS,61200,9998,9,10000,2
,AMETHYSTS,61300,9996,1,10004,1
,STARFRUIT,61300,4982,23,4989,23
,AMETHYSTS,61400,9996,1,10004,1
,STARFRUIT,61400,4982,31,4988,1
,AMETHYSTS,61500,9996,2,10004,2
,STARFRUIT,61500,4982,29,4989,29
,STARFRUIT,61600,4982,30,4987,5
,AMETHYSTS,61600,9996,2,10004,2
,AMETHYSTS,61700,9996,1,10004,1
,STARFRUIT,61700,4981,26,4986,7
,AMETHYSTS,61800,9995,20,10005,20
,STARFRUIT,61800,4981,20,4988,20
,AMETHYSTS,61900,9995,26,9998,1
,STARFRUIT,61900,4982,26,4989,26
,STARFRUIT,62000,4987,1,4989,20
,AMETHYSTS,62000,9995,20,10005,20
